2026-08-30 08:37:14,656 | __main__ | INFO | Path :C:\Users\SAMUEL\Desktop\db Sent Trash
2026-08-30 08:39:03,661 | check_status | INFO | Directory Passed Status Check...
2026-08-30 08:39:03,762 | __main__ | INFO | Sent to Trash...Path : C:\Users\SAMUEL\Desktop\db
2026-08-30 09:07:36,808 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:08:28,892 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:08:53,452 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:09:32,046 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:09:40,206 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:10:14,013 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:10:36,410 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:11:22,456 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:12:03,796 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:14:09,726 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:15:27,327 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:15:50,798 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:17:01,600 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:17:01,603 | __main__ | INFO | Path Renamed To ... :[C:\Users\SAMUEL\Desktop\db1]
2026-08-30 09:17:25,340 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:17:25,490 | __main__ | INFO | Path Renamed To ... :[C:\Users\SAMUEL\Desktop\db]
2026-08-30 09:17:43,621 | check_status | ERROR | Failed to Get File/Directory Path....
2026-08-30 09:18:59,044 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:19:40,482 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:19:40,487 | __main__ | INFO | Path Renamed To ... :[C:\Users\SAMUEL\Desktop\db1]
2026-08-30 09:24:37,418 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:24:52,682 | check_status | INFO | Directory Passed Status Check...
2026-08-30 09:24:52,684 | __main__ | INFO | Path Renamed To ... :[C:\Users\SAMUEL\Desktop\db]
2026-08-30 10:08:22,069 | __main__ | ERROR | Exception - argument should be a str or an os.PathLike object where __fspath__ returns a str, not 'NoneType'
2026-08-30 10:09:00,313 | __main__ | ERROR | Exception - argument should be a str or an os.PathLike object where __fspath__ returns a str, not 'NoneType'
2026-08-30 10:10:37,128 | check_status | INFO | Directory Passed Status Check...
2026-08-30 10:10:37,131 | __main__ | INFO | Moved Dir:[C:\Users\SAMUEL\Desktop\spam] to Destination : [C:\Users\SAMUEL\Desktop\db]
2026-08-30 10:14:33,841 | __main__ | ERROR | Exception - [WinError 2] The system cannot find the file specified: 'db1' -> 'db1+1'
2026-08-30 10:14:56,622 | __main__ | ERROR | Exception - [WinError 2] The system cannot find the file specified: 'db1' -> 'db4'
2026-08-30 10:15:07,184 | __main__ | ERROR | Exception - [WinError 2] The system cannot find the file specified: 'db1' -> 'db'
2026-08-30 10:15:09,512 | __main__ | ERROR | Exception - [WinError 2] The system cannot find the file specified: 'db1' -> 'db1'
2026-08-30 10:16:07,066 | check_status | ERROR | Failed to Get File/Directory Path....
2026-08-30 10:16:07,066 | check_status | ERROR | Exception - File/Directory Does Not Exist...
2026-08-30 10:16:50,795 | check_status | INFO | Directory Passed Status Check...
2026-08-30 10:16:50,797 | __main__ | INFO | Path Renamed To ... :[C:\Users\SAMUEL\Desktop\db1]
2026-08-30 10:17:00,619 | check_status | INFO | Directory Passed Status Check...
2026-08-30 10:17:00,622 | __main__ | INFO | Path Renamed To ... :[C:\Users\SAMUEL\Desktop\db]
